,id,rating,predicted_rating,context_time,movie_id,learner_id,movie_knowledge_area,level_of_education,level_of_english,level_of_literature,level_of_history,level_of_biology,level_of_physics,level_of_math,learning_goal,learning_style
1278,19312,4,2.684289,2017-12-12 14:52:02.494041+00,156,58,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1279,19253,3,2.3843490000000003,2017-12-12 14:52:02.437251+00,92,58,LT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1280,19335,1,2.754673,2017-12-12 14:52:02.342798+00,180,58,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1281,19311,3,3.169043,2017-12-12 14:52:02.162163+00,155,58,HT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1282,19406,4,3.2092099999999997,2017-12-12 14:52:02.521483+00,258,58,LT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1283,19428,3,-0.360518,2017-12-12 14:52:02.181071+00,282,58,BL,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1284,19468,1,4.673,2017-12-12 14:52:02.319103+00,324,58,HT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1285,19445,4,2.828818,2017-12-12 14:52:02.453077+00,299,58,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1286,19446,4,1.613795,2017-12-12 14:52:02.467467+00,300,58,PH,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1287,19387,4,4.589988,2017-12-12 14:52:02.488233+00,238,58,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1288,19438,1,2.6857580000000003,2017-12-12 14:52:02.416779+00,292,58,LT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1289,19426,3,1.177889,2017-12-12 14:52:02.172701+00,280,58,PH,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1290,19502,1,1.565971,2017-12-12 14:52:02.266374+00,360,58,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1291,19501,4,3.2855550000000004,2017-12-12 14:52:02.535503+00,359,58,PH,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1292,19496,3,0.673024,2017-12-12 14:52:02.499639+00,354,58,BL,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1293,19491,4,1.350054,2017-12-12 14:52:02.258132+00,349,58,HT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1294,18399,1,1.139277,2017-12-12 14:43:24.638108+00,53,57,BL,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1295,18718,1,3.2948480000000004,2017-12-12 14:43:24.657394+00,384,57,BL,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1296,18647,1,1.100171,2017-12-12 14:43:24.69754+00,308,57,LT,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1297,18542,1,1.179902,2017-12-12 14:43:24.75798+00,201,57,,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1298,18601,1,1.0494459999999999,2017-12-12 14:43:24.790851+00,261,57,BL,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1299,18437,1,3.381615,2017-12-12 14:43:24.796394+00,94,57,,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1300,18571,1,1.13458,2017-12-12 14:43:24.843475+00,231,57,LT,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1301,18598,1,3.671582,2017-12-12 14:43:24.935098+00,258,57,LT,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1302,18475,5,1.771218,2017-12-12 14:44:40.362497+00,133,57,BL,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1303,18663,1,1.992248,2017-12-12 14:45:39.562544+00,326,57,,DT,HL,LL,ML,ML,HL,HL,LLL,GLB
1304,19548,4,,2017-12-12 14:46:32.429162+00,124,59,PH,MT,LL,ML,ML,ML,LL,LL,STL,SQN
1305,19549,5,,2017-12-12 14:46:32.437647+00,121,59,HT,MT,LL,ML,ML,ML,LL,LL,STL,SQN
1306,19550,4,,2017-12-12 14:46:32.445257+00,389,59,LT,MT,LL,ML,ML,ML,LL,LL,STL,SQN
1307,19523,3,2.597778,2017-12-12 14:52:02.193619+00,381,58,BL,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1308,19509,1,3.8862400000000004,2017-12-12 14:52:02.277225+00,367,58,,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1309,19360,3,2.153187,2017-12-12 14:52:02.287026+00,209,58,HT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1310,19164,5,1.024167,2017-12-12 14:52:02.329026+00,2,58,LT,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1311,19366,1,1.879505,2017-12-12 14:52:02.507375+00,215,58,BL,DT,HL,ML,ML,ML,ML,HL,LLL,GLB
1312,19953,4,,2017-12-12 15:05:34.038316+00,50,60,EN,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1313,19954,3,,2017-12-12 15:05:34.050628+00,182,60,BL,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1314,19955,4,,2017-12-12 15:05:34.057921+00,310,60,,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1315,19956,3,,2017-12-12 15:05:34.065578+00,11,60,LT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1316,19957,4,,2017-12-12 15:05:34.074224+00,232,60,BL,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1317,19958,3,,2017-12-12 15:05:34.081436+00,175,60,LT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1318,19959,3,,2017-12-12 15:05:34.096007+00,28,60,LT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1319,19960,3,,2017-12-12 15:05:34.105302+00,355,60,LT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1320,19961,4,,2017-12-12 15:05:34.113983+00,69,60,HT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1321,19962,5,,2017-12-12 15:05:34.121649+00,81,60,,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1322,19963,3,,2017-12-12 15:05:34.130378+00,8,60,LT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1323,19964,4,,2017-12-12 15:05:34.138329+00,245,60,LT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1324,19965,4,,2017-12-12 15:05:34.149365+00,260,60,BL,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1325,19966,2,,2017-12-12 15:05:34.157215+00,283,60,BL,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1326,19967,3,,2017-12-12 15:05:34.166208+00,124,60,PH,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1327,19968,4,,2017-12-12 15:05:34.177953+00,130,60,,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1328,19969,3,,2017-12-12 15:05:34.186783+00,288,60,,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1329,19970,3,,2017-12-12 15:05:34.195312+00,191,60,HT,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1330,19971,4,,2017-12-12 15:05:34.203169+00,262,60,BL,DT,HL,ML,ML,ML,ML,ML,LLL,GLB
1331,20358,5,,2017-12-12 15:07:47.3125+00,215,61,BL,DT,LL,LL,LL,LL,LL,LL,LLL,GLB
1332,20763,5,,2017-12-12 15:14:32.496033+00,297,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1333,20764,5,,2017-12-12 15:14:32.504263+00,220,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1334,20765,1,,2017-12-12 15:14:32.51224+00,302,62,BL,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1335,20766,4,,2017-12-12 15:14:32.520289+00,143,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1336,20767,3,,2017-12-12 15:14:32.527424+00,308,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1337,20768,3,,2017-12-12 15:14:32.534377+00,155,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1338,20769,3,,2017-12-12 15:14:32.541357+00,83,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1339,20770,4,,2017-12-12 15:14:32.54808+00,367,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1340,20771,3,,2017-12-12 15:14:32.555153+00,352,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1341,20772,4,,2017-12-12 15:14:32.562885+00,366,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1342,20773,4,,2017-12-12 15:14:32.569386+00,282,62,BL,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1343,20774,5,,2017-12-12 15:14:32.57628+00,113,62,PH,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1344,20775,2,,2017-12-12 15:14:32.583298+00,341,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1345,20776,5,,2017-12-12 15:14:32.590454+00,195,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1346,20777,2,,2017-12-12 15:14:32.597203+00,387,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1347,20778,5,,2017-12-12 15:14:32.604407+00,258,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1348,20826,4,6.477597,2017-12-12 18:30:16.160596+00,48,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1349,20850,4,5.155161,2017-12-12 15:20:22.503647+00,72,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1350,20861,5,6.803116,2017-12-12 15:20:22.445371+00,84,62,MT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1351,20909,4,6.050180999999999,2017-12-12 15:20:22.509104+00,133,62,BL,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1352,20894,4,5.495741000000001,2017-12-12 18:30:16.167364+00,118,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1353,20884,3,6.575017999999999,2017-12-12 18:30:16.147292+00,107,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1354,20982,5,4.864163,2017-12-12 15:20:22.464963+00,209,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1355,20919,4,5.280679,2017-12-12 15:20:22.454989+00,144,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1356,20974,4,5.751168,2017-12-12 15:20:22.485078+00,201,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1357,20869,5,5.573557,2017-12-12 15:20:22.4962+00,92,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1358,20959,4,4.966711,2017-12-12 15:20:22.479374+00,185,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1359,20977,5,5.076349,2017-12-12 15:20:22.474551+00,204,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1360,20923,5,4.954992,2017-12-12 15:20:22.450091+00,148,62,BL,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1361,21102,4,6.165694,2017-12-12 15:20:22.531175+00,335,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1362,20990,3,5.379571,2017-12-12 15:20:22.525307+00,217,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1363,21064,4,5.874833,2017-12-12 15:20:22.490181+00,294,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1364,21019,3,7.5760440000000004,2017-12-12 15:20:22.469907+00,247,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1365,21079,5,5.3841730000000005,2017-12-12 15:20:22.514408+00,312,62,PH,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1366,21097,4,6.570736,2017-12-12 15:20:22.537128+00,330,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1367,21098,5,4.973917,2017-12-12 15:20:22.542914+00,331,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1368,21049,5,5.976433,2017-12-12 18:30:16.140731+00,278,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1369,21052,5,5.217554,2017-12-12 15:20:22.439995+00,281,62,,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1370,21127,5,6.9203660000000005,2017-12-12 15:20:22.45994+00,362,62,HT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1371,21005,3,5.208979,2017-12-12 15:20:22.519247+00,233,62,PH,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1372,21123,5,6.3359309999999995,2017-12-12 15:20:22.547794+00,358,62,LT,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1373,21168,4,,2017-12-12 15:33:58.159016+00,26,63,LT,DT,HL,ML,HL,ML,HL,HL,STL,SQN
1374,21134,4,6.864897,2017-12-12 18:30:16.153668+00,371,62,PH,DT,HL,HL,ML,ML,ML,HL,STL,SQN
1375,21573,4,,2017-12-12 16:01:49.080712+00,304,64,BL,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1376,21574,4,,2017-12-12 16:01:49.089909+00,26,64,LT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1377,21575,4,,2017-12-12 16:01:49.097314+00,143,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1378,21576,4,,2017-12-12 16:01:49.106439+00,172,64,LT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1379,21577,4,,2017-12-12 16:01:49.116185+00,155,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1380,21578,4,,2017-12-12 16:01:49.124098+00,282,64,BL,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1381,21579,4,,2017-12-12 16:01:49.134113+00,334,64,,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1382,21580,4,,2017-12-12 16:01:49.142527+00,346,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1383,21610,4,7.5121970000000005,2017-12-12 16:11:37.395056+00,31,64,PH,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1384,21582,4,6.975377000000001,2017-12-12 16:11:37.378744+00,2,64,LT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1385,21604,4,9.160436,2017-12-12 16:11:37.324573+00,24,64,PH,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1386,21605,2,6.590447,2017-12-12 16:11:37.318116+00,25,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1387,21635,2,7.836069999999999,2017-12-12 16:11:37.389862+00,56,64,LT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1388,21693,3,8.71238,2017-12-12 16:11:37.404581+00,114,64,,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1389,21676,4,8.154264999999999,2017-12-12 16:11:37.409245+00,97,64,MT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1390,21723,4,5.14375,2017-12-12 16:11:37.360924+00,145,64,PH,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1391,21716,4,7.124455,2017-12-12 16:11:37.413944+00,137,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1392,21629,1,5.445421,2017-12-12 16:11:37.384808+00,50,64,EN,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1393,21644,4,7.563716,2017-12-12 16:11:37.340192+00,65,64,PH,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1394,21742,4,6.62828,2017-12-12 16:11:37.329088+00,165,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1395,21769,4,8.961117999999999,2017-12-12 16:11:37.451931+00,193,64,LT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1396,21790,2,7.686942999999999,2017-12-12 16:11:37.439867+00,214,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1397,21791,4,7.802224000000001,2017-12-12 16:11:37.4338+00,215,64,BL,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1398,21822,4,6.571337,2017-12-12 16:11:37.366797+00,246,64,,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1399,21858,4,5.560852,2017-12-12 16:11:37.334836+00,283,64,BL,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1400,21893,4,15.042422,2017-12-12 16:11:37.423371+00,319,64,,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1401,21878,4,11.098619,2017-12-12 16:11:37.349214+00,303,64,BL,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1402,21900,4,8.127386999999999,2017-12-12 16:11:37.372793+00,326,64,,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1403,21877,4,11.813464,2017-12-12 16:11:37.354726+00,302,64,BL,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1404,21923,4,14.471896,2017-12-12 16:11:37.428232+00,351,64,MT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1405,21872,5,5.558365,2017-12-12 16:11:37.418463+00,297,64,,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1406,21905,4,7.127758,2017-12-12 16:11:37.4457+00,331,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1407,21978,3,,2017-12-12 16:02:43.574648+00,25,65,HT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1408,21979,3,,2017-12-12 16:02:43.581145+00,313,65,LT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1409,21980,2,,2017-12-12 16:02:43.58778+00,53,65,BL,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1410,21981,5,,2017-12-12 16:02:43.599083+00,185,65,HT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1411,21982,5,,2017-12-12 16:02:43.607956+00,400,65,,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1412,21983,3,,2017-12-12 16:02:43.615722+00,210,65,HT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1413,21984,4,,2017-12-12 16:02:43.622601+00,28,65,LT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1414,21985,4,,2017-12-12 16:02:43.628913+00,191,65,HT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1415,21986,5,,2017-12-12 16:02:43.635491+00,240,65,,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1416,21987,3,,2017-12-12 16:02:43.641621+00,278,65,LT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1417,21988,5,,2017-12-12 16:02:43.648084+00,165,65,HT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1418,21989,3,,2017-12-12 16:02:43.654295+00,87,65,,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1419,21990,3,,2017-12-12 16:02:43.66082+00,287,65,,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1420,21991,2,,2017-12-12 16:02:43.667293+00,351,65,MT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1421,21876,1,8.693561,2017-12-12 16:11:37.344602+00,301,64,PH,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1422,21992,3,,2017-12-12 16:02:43.674206+00,198,65,LT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1423,21993,3,,2017-12-12 16:02:43.680868+00,259,65,BL,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1424,21994,4,,2017-12-12 16:02:43.687275+00,258,65,LT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1425,21995,2,,2017-12-12 16:02:43.693368+00,42,65,LT,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1426,21996,2,,2017-12-12 16:02:43.699873+00,383,65,,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1427,21997,4,,2017-12-12 16:02:43.706791+00,122,65,,ES,LL,LL,LL,LL,LL,LL,LLL,SQN
1428,21637,4,5.979538,2017-12-12 16:11:37.39943+00,58,64,HT,DT,ML,LL,ML,LL,ML,HL,LLL,GLB
1429,22384,1,,2017-12-12 16:49:55.143173+00,101,66,HT,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1430,22385,1,,2017-12-12 16:49:55.156473+00,303,66,BL,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1431,22386,1,,2017-12-12 16:49:55.177078+00,353,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1432,22387,1,,2017-12-12 16:49:55.199906+00,308,66,LT,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1433,22388,1,,2017-12-12 16:49:55.231553+00,119,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1434,22389,2,,2017-12-12 16:49:55.2473+00,253,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1435,22390,1,,2017-12-12 16:49:55.2637+00,68,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1436,22391,2,,2017-12-12 16:49:55.289502+00,295,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1437,22392,1,,2017-12-12 16:49:55.308736+00,338,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1438,22393,1,,2017-12-12 16:49:55.326048+00,339,66,BL,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1439,22394,1,,2017-12-12 16:49:55.344995+00,11,66,LT,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1440,22395,1,,2017-12-12 16:49:55.367335+00,113,66,PH,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1441,22396,2,,2017-12-12 16:49:55.385599+00,204,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1442,22397,4,,2017-12-12 16:49:55.410473+00,97,66,MT,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1443,22398,1,,2017-12-12 16:49:55.42725+00,155,66,HT,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1444,22399,1,,2017-12-12 16:49:55.442935+00,360,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1445,22400,1,,2017-12-12 16:49:55.458749+00,268,66,LT,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1446,22401,2,,2017-12-12 16:49:55.471467+00,75,66,LT,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1447,22383,1,,2017-12-12 16:49:55.124062+00,287,66,,ES,ML,ML,ML,LL,LL,ML,LLL,SQN
1448,22789,3,,2017-12-12 17:28:16.06142+00,221,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1449,22790,3,,2017-12-12 17:28:16.09002+00,361,69,LT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1450,22791,4,,2017-12-12 17:28:16.105016+00,278,69,LT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1451,22792,3,,2017-12-12 17:28:16.116972+00,14,69,HT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1452,22793,3,,2017-12-12 17:28:16.133952+00,378,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1453,22794,1,,2017-12-12 17:28:16.159642+00,340,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1454,22795,3,,2017-12-12 17:28:16.285059+00,251,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1455,22796,1,,2017-12-12 17:28:16.299083+00,274,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1456,22797,2,,2017-12-12 17:28:16.304538+00,176,69,HT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1457,22798,3,,2017-12-12 17:28:16.332028+00,242,69,HT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1458,22799,4,,2017-12-12 17:28:16.379038+00,329,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1459,22800,5,,2017-12-12 17:28:16.419964+00,261,69,BL,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1460,22801,3,,2017-12-12 17:28:16.474591+00,61,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1461,22802,2,,2017-12-12 17:28:16.511578+00,384,69,BL,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1462,22803,3,,2017-12-12 17:28:16.533899+00,343,69,HT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1463,22804,2,,2017-12-12 17:28:16.596859+00,64,69,HT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1464,22805,1,,2017-12-12 17:28:16.640871+00,180,69,,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1465,22788,3,,2017-12-12 17:28:15.974851+00,249,69,HT,MT,HL,HL,HL,HL,ML,HL,LLL,SQN
1466,23193,1,,2017-12-12 17:37:41.309614+00,25,71,HT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1467,23194,4,,2017-12-12 17:37:41.318487+00,223,71,LT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1468,23195,1,,2017-12-12 17:37:41.325962+00,53,71,BL,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1469,23196,2,,2017-12-12 17:37:41.333502+00,255,71,,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1470,23197,3,,2017-12-12 17:37:41.342217+00,304,71,BL,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1471,23198,1,,2017-12-12 17:37:41.35102+00,265,71,PH,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1472,23199,1,,2017-12-12 17:37:41.362148+00,179,71,LT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1473,23200,4,,2017-12-12 17:37:41.369196+00,172,71,LT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1474,23201,1,,2017-12-12 17:37:41.376408+00,146,71,HT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1475,23202,3,,2017-12-12 17:37:41.384531+00,1,71,HT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1476,23203,2,,2017-12-12 17:37:41.392735+00,83,71,,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1477,23204,1,,2017-12-12 17:37:41.401103+00,95,71,,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1478,23205,1,,2017-12-12 17:37:41.407752+00,90,71,BL,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1479,23206,3,,2017-12-12 17:37:41.414418+00,209,71,HT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1480,23207,4,,2017-12-12 17:37:41.421409+00,219,71,,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1481,23208,3,,2017-12-12 17:37:41.428242+00,326,71,,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1482,23209,2,,2017-12-12 17:37:41.435746+00,197,71,LT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1483,23210,1,,2017-12-12 17:37:41.442249+00,98,71,PH,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1484,23211,3,,2017-12-12 17:37:41.4674+00,289,71,LT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1485,23212,1,,2017-12-12 17:37:41.479692+00,79,71,HT,DT,ML,ML,ML,LL,LL,HL,LLL,GLB
1486,23598,5,,2017-12-12 17:44:35.019352+00,287,70,,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1487,23599,3,,2017-12-12 17:44:35.027954+00,304,70,BL,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1488,23600,2,,2017-12-12 17:44:35.037495+00,332,70,LT,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1489,23601,5,,2017-12-12 17:44:35.047674+00,134,70,HT,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1490,23602,5,,2017-12-12 17:44:35.05567+00,372,70,,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1491,23603,4,,2017-12-12 17:44:35.062883+00,156,70,,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1492,23604,5,,2017-12-12 17:44:35.070721+00,331,70,HT,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1493,23605,2,,2017-12-12 17:44:35.07829+00,279,70,,DT,HL,ML,HL,ML,ML,HL,STL,SQN
1494,23606,3,,2017-12-12 17:44:35.088274+00,78,70,,DT,HL,ML,HL,ML,ML,HL,STL,SQN
