id,rating,predicted_rating,context_time,movie_id,learner_id
4214,5,13.052109,2017-12-05 16:15:18.835601+00,157,12
4106,5,8.683255,2017-12-05 16:15:18.283683+00,48,12
4153,5,8.063469,2017-12-05 16:15:18.788159+00,96,12
4108,5,5.481706,2017-12-05 16:15:18.467304+00,50,12
4123,5,15.319206,2017-12-05 16:15:18.932623+00,65,12
4213,5,9.219602,2017-12-05 16:15:18.843922+00,156,12
4226,5,9.658548,2017-12-05 16:15:18.42109+00,169,12
4205,5,14.468292,2017-12-05 16:15:18.431212+00,148,12
4141,5,7.097856,2017-12-05 16:15:18.255537+00,84,12
4272,5,17.371094,2017-12-05 16:15:18.863883+00,215,12
4294,5,11.801761,2017-12-05 16:15:18.883684+00,237,12
4336,5,9.781105,2017-12-05 16:15:18.449396+00,280,12
4301,5,11.63477,2017-12-05 16:15:18.234497+00,244,12
4233,5,10.391805,2017-12-05 16:15:18.872897+00,176,12
4352,5,13.25438,2017-12-05 16:15:18.912106+00,296,12
4303,5,7.722925,2017-12-05 16:15:18.244193+00,246,12
4305,5,9.759716,2017-12-05 16:15:18.311621+00,248,12
4264,5,9.815733,2017-12-05 16:15:18.320509+00,207,12
4228,5,10.865891,2017-12-05 16:15:18.852809+00,171,12
4308,5,8.589537,2017-12-05 16:15:18.733127+00,251,12
4271,5,10.463539,2017-12-05 16:15:18.961988+00,214,12
8525,2,,2017-12-07 12:28:33.814004+00,161,29
4266,5,16.600802,2017-12-05 16:15:18.223883+00,209,12
4353,5,6.700089,2017-12-05 16:15:18.921207+00,297,12
4355,5,16.353022,2017-12-05 16:15:18.903652+00,299,12
4411,5,12.640006,2017-12-05 16:15:18.802061+00,355,12
4436,5,10.70317,2017-12-05 16:15:18.50071+00,381,12
4378,5,7.719351,2017-12-05 16:15:18.379896+00,322,12
4381,5,14.248883,2017-12-05 16:15:18.361761+00,325,12
4456,5,12.273866,2017-12-05 16:15:18.666561+00,401,12
4356,5,4.952661,2017-12-05 16:15:18.895266+00,300,12
4389,5,7.53726,2017-12-05 16:15:18.61819+00,333,12
4476,5,26.76857,2017-12-05 16:26:15.898484+00,14,13
4413,5,6.972221,2017-12-05 16:15:18.545342+00,357,12
4357,5,3.949601,2017-12-05 16:15:18.745354+00,301,12
4461,5,,2017-12-05 16:11:48.043996+00,350,13
4462,5,,2017-12-05 16:11:48.054536+00,242,13
4470,3,44.89089,2017-12-05 16:35:01.251089+00,8,13
8526,2,,2017-12-07 12:28:33.854017+00,173,29
4464,5,25.469911,2017-12-05 16:26:15.947301+00,2,13
4492,5,30.36121,2017-12-05 17:27:41.607791+00,30,13
4569,5,41.873647,2017-12-05 16:59:27.392315+00,107,13
4520,5,40.142843,2017-12-05 16:35:01.214415+00,58,13
4514,1,45.173209,2017-12-05 16:51:34.318659+00,52,13
4488,5,41.710927,2017-12-05 16:59:27.378148+00,26,13
4512,3,43.91963,2017-12-05 16:55:11.517671+00,50,13
4541,4,32.821213,2017-12-05 17:27:41.561911+00,79,13
4509,1,47.594745,2017-12-05 16:46:09.54432+00,47,13
4486,4,33.785097,2017-12-05 17:27:41.600913+00,24,13
4576,5,35.581122,2017-12-05 17:15:09.939726+00,114,13
4563,5,35.589812,2017-12-05 17:15:09.962031+00,101,13
4496,5,42.449801,2017-12-05 16:15:29.180162+00,34,13
4595,5,42.528079,2017-12-05 16:15:29.169594+00,133,13
4596,5,45.229022,2017-12-05 16:12:56.832886+00,134,13
